hood,SafetyScore
Point Breeze North,0.9074594521382859
Squirrel Hill North,0.7892639871781848
Garfield,0.8289879118274472
Bedford Dwellings,0.9076287542748789
Knoxville,0.7279596835178727
Homewood South,0.7320116479869976
Middle Hill,0.8348626959672231
Oakwood,0.9686283140893238
North Oakland,0.8334179844016298
Duquesne Heights,0.9462860754636057
Glen Hazel,0.9834140340184426
East Liberty,0.7037156175577602
Westwood,0.9406991049560379
Morningside,0.9271267170058353
Lincoln Place,0.93014029503719
Perry North,0.8674025666203907
Northview Heights,0.9133680967053804
Homewood North,0.7359563877696136
Arlington Heights,0.9901861194821612
Lower Lawrenceville,0.8907098274246887
Larimer,0.8465332565830315
Lincoln-Lemington-Belmar,0.6377780787593539
Bluff,0.7375816882809061
Fairywood,0.9641474508741633
Brookline,0.5637591846409101
Hays,0.9753947561484893
Beltzhoover,0.8991467172315715
Greenfield,0.7903080170205081
East Carnegie,1.0
North Shore,0.872097879208569
Allentown,0.7677343988081129
Bon Air,0.9576631790426529
Allegheny West,0.9539893226785855
Crafton Heights,0.861189178207429
Manchester,0.6463729838937233
Marshall-Shadeland,0.730950687931015
Highland Park,0.8650379801126423
New Homestead,0.9959762525536405
Central Northside,0.7463007483154438
Polish Hill,0.9449993792254991
Overbrook,0.8818553256808768
Friendship,0.9673529046603235
Homewood West,0.9419970880032505
Central Business District,0.0
East Allegheny,0.7441111073488413
Allegheny Center,0.8998464993961557
Central Oakland,0.8091344146096457
Brighton Heights,0.7241221684217655
South Side Slopes,0.8075768349529904
Arlington,0.9003995530423594
Chartiers City,0.9894806939130238
Carrick,0.44968904840912427
Bloomfield,0.6637659567263738
Banksville,0.89757785076581
Mount Washington,0.592190656779422
East Hills,0.8243208162620346
Central Lawrenceville,0.7384789896048488
West End,0.9772232192236933
Esplen,0.9608912064470254
Point Breeze,0.8933001501145611
Hazelwood,0.7470456777164527
Crawford-Roberts,0.6451935123421257
South Oakland,0.8903317193196312
Upper Hill,0.9103827356967912
Ridgemont,0.9973475998600436
Troy Hill,0.8787401663675662
South Shore,0.9372396979649883
Mt. Oliver,0.9851239855980316
California-Kirkbride,0.8532376211921128
Spring Hill-City View,0.880382397092518
Sheraden,0.7108658111265365
Stanton Heights,0.9178658901342002
Beechview,0.6991952505107282
St. Clair,0.9975112585920834
Chateau,0.9657445343626904
Shadyside,0.6502612896308084
Summer Hill,0.9868960146277046
West Oakland,0.9168500773146424
Windgap,0.9727084955812142
Spring Garden,0.9705075678055057
Squirrel Hill South,0.6014571270556102
Strip District,0.8082596869039154
Swisshelm Park,0.9929457443086265
Perry South,0.7786826036411246
Upper Lawrenceville,0.9174821386245895
Regent Square,0.9851126987889254
Terrace Village,0.9392938972223163
Elliott,0.8661158703822842
South Side Flats,0.25193850946398944
Fineview,0.9602478583279721
